,LSOA code,LSOA name
24227,E01008288,Newcastle upon Tyne 027A
24228,E01008289,Newcastle upon Tyne 027B
24229,E01008290,Newcastle upon Tyne 027C
24230,E01008291,Newcastle upon Tyne 027D
24231,E01008292,Newcastle upon Tyne 027E
24232,E01008293,Newcastle upon Tyne 004A
24233,E01008294,Newcastle upon Tyne 001A
24234,E01008295,Newcastle upon Tyne 008A
24235,E01008296,Newcastle upon Tyne 011A
24236,E01008297,Newcastle upon Tyne 011B
24237,E01008298,Newcastle upon Tyne 011C
24238,E01008299,Newcastle upon Tyne 011D
24239,E01008300,Newcastle upon Tyne 016A
24240,E01008301,Newcastle upon Tyne 026A
24241,E01008302,Newcastle upon Tyne 026B
24242,E01008303,Newcastle upon Tyne 018A
24243,E01008304,Newcastle upon Tyne 026C
24244,E01008305,Newcastle upon Tyne 026D
24245,E01008306,Newcastle upon Tyne 001B
24246,E01008307,Newcastle upon Tyne 001C
24247,E01008308,Newcastle upon Tyne 001D
24248,E01008309,Newcastle upon Tyne 002A
24249,E01008311,Newcastle upon Tyne 001E
24250,E01008312,Newcastle upon Tyne 001F
24251,E01008313,Newcastle upon Tyne 001G
24252,E01008314,Newcastle upon Tyne 012A
24253,E01008315,Newcastle upon Tyne 012B
24254,E01008316,Newcastle upon Tyne 012C
24255,E01008317,Newcastle upon Tyne 007A
24256,E01008318,Newcastle upon Tyne 012D
24257,E01008319,Newcastle upon Tyne 007B
24258,E01008320,Newcastle upon Tyne 007C
24259,E01008321,Newcastle upon Tyne 007D
24260,E01008322,Newcastle upon Tyne 007E
24261,E01008323,Newcastle upon Tyne 007F
24262,E01008324,Newcastle upon Tyne 015A
24263,E01008325,Newcastle upon Tyne 015B
24264,E01008326,Newcastle upon Tyne 015C
24265,E01008327,Newcastle upon Tyne 015D
24266,E01008328,Newcastle upon Tyne 015E
24267,E01008329,Newcastle upon Tyne 015F
24268,E01008330,Newcastle upon Tyne 015G
24269,E01008331,Newcastle upon Tyne 029A
24270,E01008332,Newcastle upon Tyne 029B
24271,E01008333,Newcastle upon Tyne 029C
24272,E01008334,Newcastle upon Tyne 029D
24273,E01008335,Newcastle upon Tyne 029E
24274,E01008336,Newcastle upon Tyne 003A
24275,E01008337,Newcastle upon Tyne 003B
24276,E01008338,Newcastle upon Tyne 003C
24277,E01008339,Newcastle upon Tyne 003D
24278,E01008340,Newcastle upon Tyne 003E
24279,E01008341,Newcastle upon Tyne 003F
24280,E01008342,Newcastle upon Tyne 003G
24281,E01008343,Newcastle upon Tyne 019A
24282,E01008344,Newcastle upon Tyne 019B
24283,E01008345,Newcastle upon Tyne 019C
24284,E01008346,Newcastle upon Tyne 019D
24285,E01008347,Newcastle upon Tyne 019E
24286,E01008348,Newcastle upon Tyne 019F
24287,E01008349,Newcastle upon Tyne 019G
24288,E01008350,Newcastle upon Tyne 019H
24289,E01008351,Newcastle upon Tyne 005A
24290,E01008352,Newcastle upon Tyne 002C
24291,E01008353,Newcastle upon Tyne 006A
24292,E01008354,Newcastle upon Tyne 005B
24293,E01008355,Newcastle upon Tyne 006B
24294,E01008356,Newcastle upon Tyne 006C
24295,E01008357,Newcastle upon Tyne 002D
24296,E01008358,Newcastle upon Tyne 002E
24297,E01008359,Newcastle upon Tyne 018B
24298,E01008360,Newcastle upon Tyne 018C
24299,E01008361,Newcastle upon Tyne 018D
24300,E01008362,Newcastle upon Tyne 018E
24301,E01008363,Newcastle upon Tyne 012E
24302,E01008364,Newcastle upon Tyne 018F
24303,E01008365,Newcastle upon Tyne 012F
24304,E01008366,Newcastle upon Tyne 013A
24305,E01008367,Newcastle upon Tyne 017A
24306,E01008368,Newcastle upon Tyne 017B
24307,E01008369,Newcastle upon Tyne 013B
24308,E01008370,Newcastle upon Tyne 017C
24309,E01008371,Newcastle upon Tyne 013C
24310,E01008372,Newcastle upon Tyne 013D
24311,E01008373,Newcastle upon Tyne 013E
24312,E01008374,Newcastle upon Tyne 008B
24313,E01008375,Newcastle upon Tyne 008C
24314,E01008376,Newcastle upon Tyne 008D
24315,E01008377,Newcastle upon Tyne 008E
24316,E01008378,Newcastle upon Tyne 006D
24317,E01008379,Newcastle upon Tyne 008F
24318,E01008380,Newcastle upon Tyne 008G
24319,E01008381,Newcastle upon Tyne 021A
24320,E01008382,Newcastle upon Tyne 021B
24321,E01008383,Newcastle upon Tyne 021C
24322,E01008384,Newcastle upon Tyne 021D
24323,E01008385,Newcastle upon Tyne 021E
24324,E01008386,Newcastle upon Tyne 021F
24325,E01008387,Newcastle upon Tyne 021G
24326,E01008388,Newcastle upon Tyne 028A
24327,E01008389,Newcastle upon Tyne 028B
24328,E01008390,Newcastle upon Tyne 030A
24329,E01008391,Newcastle upon Tyne 026E
24330,E01008392,Newcastle upon Tyne 026F
24331,E01008394,Newcastle upon Tyne 024A
24332,E01008395,Newcastle upon Tyne 024B
24333,E01008396,Newcastle upon Tyne 022B
24334,E01008397,Newcastle upon Tyne 024C
24335,E01008398,Newcastle upon Tyne 022C
24336,E01008399,Newcastle upon Tyne 024D
24337,E01008400,Newcastle upon Tyne 014A
24338,E01008401,Newcastle upon Tyne 014B
24339,E01008402,Newcastle upon Tyne 014C
24340,E01008403,Newcastle upon Tyne 014D
24341,E01008404,Newcastle upon Tyne 014E
24342,E01008405,Newcastle upon Tyne 014F
24343,E01008406,Newcastle upon Tyne 023A
24344,E01008407,Newcastle upon Tyne 023B
24345,E01008409,Newcastle upon Tyne 017D
24346,E01008410,Newcastle upon Tyne 023D
24347,E01008411,Newcastle upon Tyne 017E
24348,E01008412,Newcastle upon Tyne 023E
24349,E01008413,Newcastle upon Tyne 023F
24350,E01008415,Newcastle upon Tyne 025B
24351,E01008416,Newcastle upon Tyne 025C
24352,E01008418,Newcastle upon Tyne 005C
24353,E01008419,Newcastle upon Tyne 006E
24354,E01008420,Newcastle upon Tyne 005D
24355,E01008421,Newcastle upon Tyne 006F
24356,E01008422,Newcastle upon Tyne 005E
24357,E01008423,Newcastle upon Tyne 006G
24358,E01008424,Newcastle upon Tyne 005F
24359,E01008425,Newcastle upon Tyne 030B
24360,E01008426,Newcastle upon Tyne 028C
24361,E01008427,Newcastle upon Tyne 030C
24362,E01008428,Newcastle upon Tyne 030D
24363,E01008429,Newcastle upon Tyne 028D
24364,E01008430,Newcastle upon Tyne 020A
24365,E01008431,Newcastle upon Tyne 020B
24366,E01008432,Newcastle upon Tyne 026G
24367,E01008433,Newcastle upon Tyne 020C
24368,E01008434,Newcastle upon Tyne 020D
24369,E01008435,Newcastle upon Tyne 020E
24370,E01008436,Newcastle upon Tyne 020F
24371,E01008437,Newcastle upon Tyne 029F
24372,E01008438,Newcastle upon Tyne 029G
24373,E01008439,Newcastle upon Tyne 024E
24374,E01008441,Newcastle upon Tyne 031A
24375,E01008442,Newcastle upon Tyne 031B
24376,E01008443,Newcastle upon Tyne 014G
24377,E01008444,Newcastle upon Tyne 031C
24378,E01008445,Newcastle upon Tyne 031D
24379,E01008446,Newcastle upon Tyne 031E
24380,E01008447,Newcastle upon Tyne 031F
24381,E01008448,Newcastle upon Tyne 031G
24382,E01008449,Newcastle upon Tyne 022D
24383,E01008450,Newcastle upon Tyne 016B
24384,E01008451,Newcastle upon Tyne 016C
24385,E01008452,Newcastle upon Tyne 016D
24386,E01008453,Newcastle upon Tyne 022E
24387,E01008455,Newcastle upon Tyne 022G
24388,E01008456,Newcastle upon Tyne 004B
24389,E01008457,Newcastle upon Tyne 004C
24390,E01008458,Newcastle upon Tyne 004D
24391,E01008459,Newcastle upon Tyne 004E
24392,E01008460,Newcastle upon Tyne 004F
24393,E01033543,Newcastle upon Tyne 024G
24394,E01033545,Newcastle upon Tyne 024H
24395,E01033547,Newcastle upon Tyne 025E
24396,E01033548,Newcastle upon Tyne 023G
24397,E01033550,Newcastle upon Tyne 002F
24398,E01033551,Newcastle upon Tyne 002G
24399,E01033553,Newcastle upon Tyne 023H
24400,E01033554,Newcastle upon Tyne 024I
24401,E01033556,Newcastle upon Tyne 022H
24402,E01008461,North Tyneside 021A
24403,E01008462,North Tyneside 024A
24404,E01008463,North Tyneside 024B
24405,E01008464,North Tyneside 024C
24406,E01008465,North Tyneside 024D
24407,E01008466,North Tyneside 021B
24408,E01008467,North Tyneside 021C
24409,E01008468,North Tyneside 021D
24410,E01008469,North Tyneside 018A
24411,E01008470,North Tyneside 014A
24412,E01008471,North Tyneside 019A
24413,E01008472,North Tyneside 018B
24414,E01008473,North Tyneside 018C
24415,E01008474,North Tyneside 019B
24416,E01008475,North Tyneside 008A
24417,E01008476,North Tyneside 008B
24418,E01008477,North Tyneside 008C
24419,E01008478,North Tyneside 002A
24420,E01008479,North Tyneside 008D
24421,E01008480,North Tyneside 002B
24422,E01008481,North Tyneside 023A
24423,E01008482,North Tyneside 023B
24424,E01008483,North Tyneside 022A
24425,E01008484,North Tyneside 023C
24426,E01008485,North Tyneside 023D
24427,E01008486,North Tyneside 020A
24428,E01008487,North Tyneside 020B
24429,E01008488,North Tyneside 015A
24430,E01008489,North Tyneside 015B
24431,E01008490,North Tyneside 015C
24432,E01008491,North Tyneside 015D
24433,E01008492,North Tyneside 023E
24434,E01008493,North Tyneside 013A
24435,E01008494,North Tyneside 013B
24436,E01008495,North Tyneside 010A
24437,E01008496,North Tyneside 010B
24438,E01008497,North Tyneside 010C
24439,E01008498,North Tyneside 010D
24440,E01008499,North Tyneside 014B
24441,E01008500,North Tyneside 012A
24442,E01008501,North Tyneside 018D
24443,E01008502,North Tyneside 014C
24444,E01008503,North Tyneside 018E
24445,E01008504,North Tyneside 002C
24446,E01008505,North Tyneside 012B
24447,E01008506,North Tyneside 012C
24448,E01008507,North Tyneside 012D
24449,E01008508,North Tyneside 026A
24450,E01008509,North Tyneside 026B
24451,E01008510,North Tyneside 026C
24452,E01008511,North Tyneside 028A
24453,E01008512,North Tyneside 026D
24454,E01008513,North Tyneside 019C
24455,E01008514,North Tyneside 019D
24456,E01008516,North Tyneside 014D
24457,E01008517,North Tyneside 005A
24458,E01008518,North Tyneside 007A
24459,E01008519,North Tyneside 005B
24460,E01008520,North Tyneside 003A
24461,E01008521,North Tyneside 005C
24462,E01008522,North Tyneside 005D
24463,E01008523,North Tyneside 003B
24464,E01008524,North Tyneside 022B
24465,E01008525,North Tyneside 017A
24466,E01008526,North Tyneside 020C
24467,E01008527,North Tyneside 017B
24468,E01008528,North Tyneside 022C
24469,E01008529,North Tyneside 022D
24470,E01008530,North Tyneside 020D
24471,E01008531,North Tyneside 025A
24472,E01008532,North Tyneside 025B
24473,E01008533,North Tyneside 030A
24474,E01008534,North Tyneside 025C
24475,E01008535,North Tyneside 030B
24476,E01008536,North Tyneside 030C
24477,E01008537,North Tyneside 030D
24478,E01008538,North Tyneside 025D
24479,E01008539,North Tyneside 027A
24480,E01008540,North Tyneside 027B
24481,E01008541,North Tyneside 027C
24482,E01008542,North Tyneside 028B
24483,E01008543,North Tyneside 028C
24484,E01008544,North Tyneside 027D
24485,E01008545,North Tyneside 027E
24486,E01008546,North Tyneside 003C
24487,E01008547,North Tyneside 001A
24488,E01008548,North Tyneside 001B
24489,E01008549,North Tyneside 001C
24490,E01008550,North Tyneside 003D
24491,E01008551,North Tyneside 001D
24492,E01008552,North Tyneside 009A
24493,E01008553,North Tyneside 009B
24494,E01008554,North Tyneside 009C
24495,E01008555,North Tyneside 009D
24496,E01008556,North Tyneside 013C
24497,E01008557,North Tyneside 013D
24498,E01008558,North Tyneside 016A
24499,E01008559,North Tyneside 017C
24500,E01008560,North Tyneside 016B
24501,E01008561,North Tyneside 016C
24502,E01008562,North Tyneside 016D
24503,E01008563,North Tyneside 017D
24504,E01008564,North Tyneside 007B
24505,E01008565,North Tyneside 007C
24506,E01008567,North Tyneside 007D
24507,E01008568,North Tyneside 011B
24508,E01008569,North Tyneside 011C
24509,E01008570,North Tyneside 011D
24510,E01008571,North Tyneside 028D
24511,E01008572,North Tyneside 029A
24512,E01008573,North Tyneside 029B
24513,E01008574,North Tyneside 029C
24514,E01008575,North Tyneside 030E
24515,E01008576,North Tyneside 029D
24516,E01008577,North Tyneside 004A
24517,E01008578,North Tyneside 002D
24518,E01008579,North Tyneside 004B
24519,E01008580,North Tyneside 004C
24520,E01008581,North Tyneside 004D
24521,E01008582,North Tyneside 004E
24522,E01008583,North Tyneside 002E
24523,E01008584,North Tyneside 006A
24524,E01008585,North Tyneside 006B
24525,E01008586,North Tyneside 009E
24526,E01008587,North Tyneside 006C
24527,E01008588,North Tyneside 006D
24528,E01008589,North Tyneside 006E
24529,E01032647,North Tyneside 011E
24530,E01032648,North Tyneside 011F
24531,E01032649,North Tyneside 019F
24532,E01032650,North Tyneside 019G
24533,E01008590,South Tyneside 011A
24534,E01008591,South Tyneside 011B
24535,E01008592,South Tyneside 011C
24536,E01008593,South Tyneside 016A
24537,E01008594,South Tyneside 011D
24538,E01008595,South Tyneside 001A
24539,E01008596,South Tyneside 001B
24540,E01008597,South Tyneside 001C
24541,E01008598,South Tyneside 001D
24542,E01008599,South Tyneside 001E
24543,E01008600,South Tyneside 007A
24544,E01008601,South Tyneside 012A
24545,E01008602,South Tyneside 014A
24546,E01008603,South Tyneside 014B
24547,E01008604,South Tyneside 007B
24548,E01008605,South Tyneside 016B
24549,E01008606,South Tyneside 016C
24550,E01008607,South Tyneside 016D
24551,E01008608,South Tyneside 014C
24552,E01008609,South Tyneside 016E
24553,E01008610,South Tyneside 021A
24554,E01008611,South Tyneside 021B
24555,E01008612,South Tyneside 021C
24556,E01008613,South Tyneside 021D
24557,E01008614,South Tyneside 023A
24558,E01008615,South Tyneside 023B
24559,E01008616,South Tyneside 022A
24560,E01008617,South Tyneside 023C
24561,E01008618,South Tyneside 022B
24562,E01008619,South Tyneside 022C
24563,E01008620,South Tyneside 023D
24564,E01008621,South Tyneside 022D
24565,E01008622,South Tyneside 013A
24566,E01008624,South Tyneside 018A
24567,E01008625,South Tyneside 013C
24568,E01008627,South Tyneside 020A
24569,E01008628,South Tyneside 020B
24570,E01008629,South Tyneside 020C
24571,E01008630,South Tyneside 020D
24572,E01008631,South Tyneside 017A
24573,E01008632,South Tyneside 017B
24574,E01008633,South Tyneside 008A
24575,E01008634,South Tyneside 008B
24576,E01008635,South Tyneside 006A
24577,E01008636,South Tyneside 008C
24578,E01008637,South Tyneside 008D
24579,E01008638,South Tyneside 010A
24580,E01008639,South Tyneside 009A
24581,E01008640,South Tyneside 010B
24582,E01008641,South Tyneside 010C
24583,E01008642,South Tyneside 010D
24584,E01008643,South Tyneside 015A
24585,E01008644,South Tyneside 015B
24586,E01008645,South Tyneside 015C
24587,E01008646,South Tyneside 015D
24588,E01008647,South Tyneside 004A
24589,E01008648,South Tyneside 004B
24590,E01008649,South Tyneside 004C
24591,E01008650,South Tyneside 006B
24592,E01008651,South Tyneside 004D
24593,E01008652,South Tyneside 009B
24594,E01008653,South Tyneside 009C
24595,E01008654,South Tyneside 009D
24596,E01008655,South Tyneside 009E
24597,E01008656,South Tyneside 015E
24598,E01008657,South Tyneside 009F
24599,E01008658,South Tyneside 015F
24600,E01008659,South Tyneside 017C
24601,E01008660,South Tyneside 007C
24602,E01008661,South Tyneside 007D
24603,E01008662,South Tyneside 017D
24604,E01008663,South Tyneside 017E
24605,E01008664,South Tyneside 002A
24606,E01008665,South Tyneside 002B
24607,E01008666,South Tyneside 002C
24608,E01008667,South Tyneside 002D
24609,E01008668,South Tyneside 002E
24610,E01008669,South Tyneside 012B
24611,E01008670,South Tyneside 014D
24612,E01008671,South Tyneside 012C
24613,E01008672,South Tyneside 012D
24614,E01008673,South Tyneside 003A
24615,E01008674,South Tyneside 006C
24616,E01008675,South Tyneside 003B
24617,E01008676,South Tyneside 003C
24618,E01008677,South Tyneside 003D
24619,E01008678,South Tyneside 003E
24620,E01008679,South Tyneside 005A
24621,E01008680,South Tyneside 005B
24622,E01008681,South Tyneside 006D
24623,E01008682,South Tyneside 005C
24624,E01008683,South Tyneside 005D
24625,E01008684,South Tyneside 018B
24626,E01008685,South Tyneside 018C
24627,E01008686,South Tyneside 018D
24628,E01008687,South Tyneside 018E
24629,E01008688,South Tyneside 019A
24630,E01008689,South Tyneside 019B
24631,E01008690,South Tyneside 019C
24632,E01008691,South Tyneside 019D
24633,E01008692,South Tyneside 019E
24634,E01033074,South Tyneside 013E
24635,E01008693,Sunderland 008A
24636,E01008694,Sunderland 008B
24637,E01008695,Sunderland 008C
24638,E01008696,Sunderland 008D
24639,E01008697,Sunderland 008E
24640,E01008698,Sunderland 003A
24641,E01008699,Sunderland 008F
24642,E01008700,Sunderland 013A
24643,E01008701,Sunderland 011A
24644,E01008702,Sunderland 016A
24645,E01008703,Sunderland 013B
24646,E01008704,Sunderland 011B
24647,E01008705,Sunderland 013C
24648,E01008706,Sunderland 011C
24649,E01008707,Sunderland 011D
24650,E01008708,Sunderland 005A
24651,E01008709,Sunderland 005B
24652,E01008711,Sunderland 005D
24653,E01008712,Sunderland 004A
24654,E01008713,Sunderland 001A
24655,E01008714,Sunderland 034A
24656,E01008715,Sunderland 034B
24657,E01008716,Sunderland 034C
24658,E01008717,Sunderland 034D
24659,E01008718,Sunderland 035A
24660,E01008719,Sunderland 035B
24661,E01008720,Sunderland 032A
24662,E01008721,Sunderland 032B
24663,E01008722,Sunderland 001B
24664,E01008723,Sunderland 002A
24665,E01008724,Sunderland 001C
24666,E01008725,Sunderland 002B
24667,E01008726,Sunderland 001D
24668,E01008727,Sunderland 002C
24669,E01008728,Sunderland 002D
24670,E01008729,Sunderland 021A
24671,E01008730,Sunderland 021B
24672,E01008731,Sunderland 021C
24673,E01008732,Sunderland 021D
24674,E01008733,Sunderland 021E
24675,E01008734,Sunderland 021F
24676,E01008735,Sunderland 016B
24677,E01008736,Sunderland 016C
24678,E01008737,Sunderland 016D
24679,E01008738,Sunderland 016E
24680,E01008739,Sunderland 024A
24681,E01008740,Sunderland 022A
24682,E01008741,Sunderland 024B
24683,E01008742,Sunderland 035C
24684,E01008743,Sunderland 036A
24685,E01008744,Sunderland 036B
24686,E01008745,Sunderland 036C
24687,E01008746,Sunderland 036D
24688,E01008747,Sunderland 035D
24689,E01008748,Sunderland 035E
24690,E01008749,Sunderland 034E
24691,E01008750,Sunderland 033A
24692,E01008751,Sunderland 033B
24693,E01008752,Sunderland 033C
24694,E01008753,Sunderland 033D
24695,E01008754,Sunderland 034F
24696,E01008755,Sunderland 033E
24697,E01008756,Sunderland 012A
24698,E01008757,Sunderland 015A
24699,E01008758,Sunderland 015B
24700,E01008759,Sunderland 015C
24701,E01008760,Sunderland 018A
24702,E01008761,Sunderland 015D
24703,E01008762,Sunderland 012B
24704,E01008763,Sunderland 028A
24705,E01008764,Sunderland 028B
24706,E01008765,Sunderland 031A
24707,E01008766,Sunderland 028C
24708,E01008767,Sunderland 031B
24709,E01008768,Sunderland 028D
24710,E01008769,Sunderland 028E
24711,E01008770,Sunderland 031C
24712,E01008771,Sunderland 031D
24713,E01008772,Sunderland 029A
24714,E01008773,Sunderland 026A
24715,E01008774,Sunderland 029B
24716,E01008775,Sunderland 029C
24717,E01008776,Sunderland 026B
24718,E01008777,Sunderland 026C
24719,E01008778,Sunderland 026D
24720,E01008779,Sunderland 024C
24721,E01008780,Sunderland 024D
24722,E01008781,Sunderland 022B
24723,E01008782,Sunderland 022C
24724,E01008783,Sunderland 022D
24725,E01008784,Sunderland 022E
24726,E01008785,Sunderland 022F
24727,E01008786,Sunderland 006A
24728,E01008787,Sunderland 006B
24729,E01008788,Sunderland 006C
24730,E01008789,Sunderland 006D
24731,E01008790,Sunderland 006E
24732,E01008791,Sunderland 006F
24733,E01008792,Sunderland 002E
24734,E01008793,Sunderland 030A
24735,E01008795,Sunderland 030B
24736,E01008796,Sunderland 032D
24737,E01008797,Sunderland 030C
24738,E01008799,Sunderland 025A
24739,E01008800,Sunderland 030D
24740,E01008801,Sunderland 030E
24741,E01008802,Sunderland 029D
24742,E01008803,Sunderland 027A
24743,E01008804,Sunderland 027B
24744,E01008805,Sunderland 027C
24745,E01008808,Sunderland 029E
24746,E01008809,Sunderland 026E
24747,E01008810,Sunderland 014A
24748,E01008811,Sunderland 014B
24749,E01008812,Sunderland 012C
24750,E01008813,Sunderland 014C
24751,E01008814,Sunderland 014D
24752,E01008817,Sunderland 004B
24753,E01008819,Sunderland 004C
24754,E01008820,Sunderland 005F
24755,E01008821,Sunderland 004D
24756,E01008822,Sunderland 004E
24757,E01008823,Sunderland 023A
24758,E01008824,Sunderland 023B
24759,E01008825,Sunderland 023C
24760,E01008826,Sunderland 023D
24761,E01008827,Sunderland 023E
24762,E01008828,Sunderland 023F
24763,E01008829,Sunderland 023G
24764,E01008830,Sunderland 018B
24765,E01008831,Sunderland 013D
24766,E01008832,Sunderland 018C
24767,E01008833,Sunderland 018D
24768,E01008834,Sunderland 013E
24769,E01008835,Sunderland 022G
24770,E01008836,Sunderland 016F
24771,E01008837,Sunderland 003B
24772,E01008838,Sunderland 003C
24773,E01008839,Sunderland 003D
24774,E01008840,Sunderland 003E
24775,E01008841,Sunderland 003F
24776,E01008842,Sunderland 004F
24777,E01008843,Sunderland 019A
24778,E01008844,Sunderland 019B
24779,E01008845,Sunderland 017A
24780,E01008846,Sunderland 017B
24781,E01008847,Sunderland 017C
24782,E01008848,Sunderland 019C
24783,E01008849,Sunderland 019D
24784,E01008850,Sunderland 017D
24785,E01008851,Sunderland 017E
24786,E01008852,Sunderland 019E
24787,E01008853,Sunderland 009A
24788,E01008854,Sunderland 009B
24789,E01008855,Sunderland 007A
24790,E01008856,Sunderland 007B
24791,E01008857,Sunderland 009C
24792,E01008858,Sunderland 009D
24793,E01008859,Sunderland 009E
24794,E01008860,Sunderland 009F
24795,E01008861,Sunderland 025B
24796,E01008862,Sunderland 025C
24797,E01008863,Sunderland 025D
24798,E01008864,Sunderland 025E
24799,E01008865,Sunderland 025F
24800,E01008866,Sunderland 025G
24801,E01008867,Sunderland 020A
24802,E01008868,Sunderland 020B
24803,E01008869,Sunderland 020C
24804,E01008870,Sunderland 020D
24805,E01008871,Sunderland 020E
24806,E01008872,Sunderland 020F
24807,E01008873,Sunderland 010A
24808,E01008874,Sunderland 010B
24809,E01008875,Sunderland 010C
24810,E01008876,Sunderland 007C
24811,E01008877,Sunderland 007D
24812,E01008878,Sunderland 009G
24813,E01008879,Sunderland 010D
24814,E01008880,Sunderland 010E
24815,E01032483,Sunderland 032F
24816,E01032484,Sunderland 032G
24817,E01033075,Sunderland 005G
24818,E01033076,Sunderland 012F
24819,E01033077,Sunderland 027F
27888,E01008162,Gateshead 027A
27889,E01008163,Gateshead 028A
27890,E01008164,Gateshead 027B
27891,E01008165,Gateshead 011A
27892,E01008166,Gateshead 027C
27893,E01008167,Gateshead 008A
27894,E01008168,Gateshead 027D
27895,E01008169,Gateshead 008B
27896,E01008170,Gateshead 008C
27897,E01008171,Gateshead 008D
27898,E01008172,Gateshead 026A
27899,E01008173,Gateshead 026B
27900,E01008174,Gateshead 026C
27901,E01008175,Gateshead 026D
27902,E01008176,Gateshead 026E
27903,E01008177,Gateshead 005A
27904,E01008178,Gateshead 004A
27905,E01008179,Gateshead 005B
27906,E01008180,Gateshead 004B
27907,E01008181,Gateshead 005C
27908,E01008182,Gateshead 004C
27909,E01008183,Gateshead 024A
27910,E01008184,Gateshead 022A
27911,E01008185,Gateshead 022B
27912,E01008186,Gateshead 024B
27913,E01008187,Gateshead 024C
27914,E01008188,Gateshead 022C
27915,E01008189,Gateshead 023A
27916,E01008190,Gateshead 023B
27917,E01008191,Gateshead 023C
27918,E01008192,Gateshead 023D
27919,E01008193,Gateshead 020A
27920,E01008194,Gateshead 020B
27921,E01008195,Gateshead 002A
27922,E01008196,Gateshead 024D
27923,E01008197,Gateshead 002B
27924,E01008198,Gateshead 002C
27925,E01008199,Gateshead 002D
27926,E01008200,Gateshead 002E
27927,E01008201,Gateshead 011B
27928,E01008202,Gateshead 011C
27929,E01008203,Gateshead 028B
27930,E01008204,Gateshead 011D
27931,E01008205,Gateshead 028C
27932,E01008206,Gateshead 013A
27933,E01008207,Gateshead 013B
27934,E01008208,Gateshead 013C
27935,E01008209,Gateshead 007A
27936,E01008210,Gateshead 007B
27937,E01008211,Gateshead 013D
27938,E01008212,Gateshead 012A
27939,E01008213,Gateshead 012B
27940,E01008214,Gateshead 003A
27941,E01008215,Gateshead 003B
27942,E01008216,Gateshead 012C
27943,E01008217,Gateshead 023E
27944,E01008218,Gateshead 021A
27945,E01008219,Gateshead 016A
27946,E01008220,Gateshead 021B
27947,E01008221,Gateshead 021C
27948,E01008222,Gateshead 025A
27949,E01008223,Gateshead 025B
27950,E01008224,Gateshead 025C
27951,E01008225,Gateshead 021D
27952,E01008226,Gateshead 025D
27953,E01008227,Gateshead 021E
27954,E01008228,Gateshead 012D
27955,E01008229,Gateshead 018A
27956,E01008230,Gateshead 018B
27957,E01008231,Gateshead 015A
27958,E01008232,Gateshead 018C
27959,E01008233,Gateshead 018D
27960,E01008234,Gateshead 020C
27961,E01008235,Gateshead 016B
27962,E01008236,Gateshead 016C
27963,E01008237,Gateshead 016D
27964,E01008238,Gateshead 016E
27965,E01008239,Gateshead 020D
27966,E01008240,Gateshead 015B
27967,E01008241,Gateshead 015C
27968,E01008242,Gateshead 015D
27969,E01008243,Gateshead 003C
27970,E01008244,Gateshead 003D
27971,E01008245,Gateshead 002F
27972,E01008246,Gateshead 001A
27973,E01008247,Gateshead 001B
27974,E01008248,Gateshead 001C
27975,E01008249,Gateshead 001D
27976,E01008250,Gateshead 001E
27977,E01008251,Gateshead 010A
27978,E01008252,Gateshead 010B
27979,E01008253,Gateshead 010C
27980,E01008254,Gateshead 010D
27981,E01008255,Gateshead 010E
27982,E01008256,Gateshead 019A
27983,E01008257,Gateshead 008E
27984,E01008258,Gateshead 007C
27985,E01008259,Gateshead 007D
27986,E01008260,Gateshead 019B
27987,E01008261,Gateshead 019C
27988,E01008262,Gateshead 009A
27989,E01008263,Gateshead 009B
27990,E01008264,Gateshead 009C
27991,E01008265,Gateshead 009D
27992,E01008266,Gateshead 009E
27993,E01008267,Gateshead 017A
27994,E01008268,Gateshead 019D
27995,E01008269,Gateshead 017B
27996,E01008270,Gateshead 017C
27997,E01008271,Gateshead 017D
27998,E01008272,Gateshead 019E
27999,E01008273,Gateshead 019F
28000,E01008274,Gateshead 019G
28001,E01008275,Gateshead 017E
28002,E01008276,Gateshead 005D
28003,E01008277,Gateshead 004D
28004,E01008278,Gateshead 022D
28005,E01008279,Gateshead 005E
28006,E01008280,Gateshead 004E
28007,E01008281,Gateshead 015E
28008,E01008282,Gateshead 015F
28009,E01008283,Gateshead 014A
28010,E01008284,Gateshead 014B
28011,E01008285,Gateshead 018E
28012,E01008286,Gateshead 014C
28013,E01008287,Gateshead 014D
